======================================================================
BÚSQUEDA PARAMÉTRICA — τ × ρ_floor × ρ_hall
======================================================================
  τ:        0.68 a 0.82  (8 valores)
  ρ_floor:  0.09 a 0.21  (7 valores)
  ρ_hall:   0.11 a 0.21  (6 valores)
  Total:    336 combinaciones
  Estimado: ~8.4 horas
  CSV:      data/parametric/grid_results.csv
======================================================================

  [42/336] τ=0.68 ρf=0.21 ρh=0.21 ... OK (1s) GOF_jun= 35.1% GOF_nov= 27.1%  ETA: 3.8min
  [43/336] τ=0.70 ρf=0.09 ρh=0.11 ... OK (1s) GOF_jun= 33.0% GOF_nov= 26.4%  ETA: 3.8min
  [44/336] τ=0.70 ρf=0.09 ρh=0.13 ... OK (1s) GOF_jun= 33.4% GOF_nov= 25.9%  ETA: 3.8min
  [45/336] τ=0.70 ρf=0.09 ρh=0.15 ... OK (1s) GOF_jun= 33.1% GOF_nov= 26.0%  ETA: 3.8min
  [46/336] τ=0.70 ρf=0.09 ρh=0.17 ... OK (1s) GOF_jun= 33.3% GOF_nov= 26.0%  ETA: 3.8min
  [47/336] τ=0.70 ρf=0.09 ρh=0.19 ... OK (1s) GOF_jun= 33.3% GOF_nov= 26.0%  ETA: 3.8min
  [48/336] τ=0.70 ρf=0.09 ρh=0.21 ... OK (1s) GOF_jun= 33.0% GOF_nov= 25.5%  ETA: 3.7min
  [49/336] τ=0.70 ρf=0.11 ρh=0.11 ... OK (1s) GOF_jun= 33.0% GOF_nov= 26.1%  ETA: 3.7min
  [50/336] τ=0.70 ρf=0.11 ρh=0.13 ... OK (1s) GOF_jun= 33.1% GOF_nov= 26.0%  ETA: 3.7min
  [51/336] τ=0.70 ρf=0.11 ρh=0.15 ... OK (1s) GOF_jun= 32.9% GOF_nov= 25.6%  ETA: 3.7min
  [52/336] τ=0.70 ρf=0.11 ρh=0.17 ... OK (1s) GOF_jun= 33.2% GOF_nov= 26.6%  ETA: 3.7min
  [53/336] τ=0.70 ρf=0.11 ρh=0.19 ... OK (1s) GOF_jun= 32.9% GOF_nov= 25.3%  ETA: 3.7min
