tau,rho_floor,rho_hall,nmbe_jun,cvrmse_jun,nmae_jun,r2_jun,gof_jun,nmbe_nov,cvrmse_nov,nmae_nov,r2_nov,gof_nov,gof_combined,meets_ashrae_jun,meets_ashrae_nov,success
0.68,0.09,0.11,21.311616628137088,53.59512151853391,28.57857140505719,0.7313214579151217,35.649961386495804,12.821696599280061,36.85067862564947,24.788062558460627,0.6916469935269504,27.90777578178074,31.778868584138273,False,False,True
0.68,0.09,0.13,21.373279730347456,53.543231415040474,28.573457888649035,0.7318414682386677,35.68276309573127,12.597699480037866,37.24384902470758,25.04202156756614,0.6850320802602072,28.032211407232825,31.85748725148205,False,False,True
0.68,0.09,0.15,21.333714182215484,53.714868025105325,28.73799471504946,0.7301195104993328,35.79105616003351,12.716863290169862,37.08677966390617,24.730522787482975,0.6876831215357708,27.808584453062057,31.799820306547787,False,False,True
0.68,0.09,0.17,21.21477507261195,53.69496118839878,28.67614043307863,0.7303195099225401,35.670544031724056,12.457044153779679,37.451231771632486,25.11430163683305,0.6815146796775887,28.03401676098257,31.852280396353315,False,False,True
0.68,0.09,0.19,21.241967235846168,53.53548368005373,28.493073475612047,0.731919067997485,35.53978627025476,12.589886100540104,36.51002911834744,24.293881537606055,0.6973215050827863,27.362344785997585,31.451065528126172,False,False,True
0.68,0.09,0.21,21.216816637130375,54.0560858491973,28.742702771011302,0.7266798474649142,35.72528895329348,11.960991020970214,37.24589663428135,24.842347442915003,0.6849974464039629,27.57186124798679,31.648575100640134,False,False,True
0.68,0.11,0.11,21.12530589032991,53.703000251050604,28.605489731479032,0.730238752227605,35.560548248554326,13.146820905030127,37.101174322707074,25.08066815746397,0.6874406325727949,28.317464842986283,31.939006545770305,False,False,True
0.68,0.11,0.13,21.28646250680827,53.55299736684414,28.644999700103085,0.7317436384268974,35.68822626403083,12.815539057714604,37.46495383900504,25.251280424073347,0.6812812519665694,28.317224517861888,32.00272539094636,False,False,True
0.68,0.11,0.15,21.36752280663573,53.78360722652258,28.855769613258147,0.7294283335439863,35.9057999613646,12.830744992770205,37.232318645452935,25.2509667970234,0.6852270728558207,28.32382991853107,32.114814939947834,False,False,True
0.68,0.11,0.17,21.187606322318928,53.820475444668425,28.67674874086707,0.7290572571213614,35.65488157344503,12.44999657448027,36.827777026187235,24.590771293998557,0.6920301388566121,27.562809137283413,31.608845355364224,False,False,True
0.68,0.11,0.19,21.25446513946183,53.885853761355875,28.72248802872296,0.7283986029867918,35.7314092490729,12.061133637306808,36.57112477403554,24.442140888731803,0.6963076568859542,27.25599375993451,31.493701504503704,False,False,True
0.68,0.11,0.21,20.827259647274925,53.409701952298086,28.36036966292021,0.7331773015375143,35.18643647533082,11.879557998455628,36.929651711119774,24.642903782952644,0.690323941542079,27.35683836071948,31.27163741802515,False,False,True
0.68,0.13,0.11,21.162527099249452,53.720401910085094,28.643368476138768,0.7300638996573396,35.61313115813221,12.328896158058713,36.42584508078649,24.544938385411115,0.6987157149466492,27.467356640561952,31.540243899347082,False,False,True
0.68,0.13,0.13,20.9926542837579,53.173723239857694,28.346655395149096,0.7355298845841255,35.273565257409324,12.184294137724791,36.906210174512225,24.740605073772464,0.6907169579051626,27.578153728104617,31.42585949275697,False,False,True
0.68,0.13,0.15,21.23721244625008,53.85268051581152,28.666723407717416,0.7287329069223998,35.676325811688244,12.234450665059292,37.118815376716796,24.68704074783102,0.6871433272898385,27.552345888523522,31.61433585010588,False,False,True
0.68,0.13,0.17,21.114497099103303,53.75169552750276,28.656603512078643,0.729749317594028,35.595265311506246,12.319854596131911,36.863962289632916,24.55250689331581,0.6914246477717254,27.470063924500668,31.53266461800346,False,False,True
0.68,0.13,0.19,21.193771199890083,53.534866013645896,28.55490922836705,0.7319252539369658,35.560635240579884,11.909245491015907,36.940723321472824,24.632076257846126,0.6901382302531963,27.359994680877215,31.46031496072855,False,False,True
